depth,network,site_id,n,exact_acc,class_err,kappa
Middle,SCAN,SCAN:2005,8311,0.27830585970400673,1.4035615449404404,0.2731746517702617
Middle,SCAN,SCAN:2006,7945,0.3251101321585903,1.228319697923222,0.3637932295767378
Middle,SCAN,SCAN:2028,8078,0.30713047784104974,1.3664273334983907,0.1985189952219031
Middle,SCAN,SCAN:2036,2937,0.26591760299625467,1.4885938032005448,0.1836908150737861
Middle,SCAN,SCAN:2039,7934,0.37269977312830854,1.0413410637761533,0.3381627789046651
Middle,SCAN,SCAN:2090,5594,0.3641401501608867,0.9939220593493028,0.4339658249627989
Middle,SCAN,SCAN:2091,6634,0.25806451612903225,1.5581851070244197,0.23984929118786602
Middle,SCAN,SCAN:2104,4258,0.3250352278064819,1.2879286049788634,0.27764315432852216
Middle,SCAN,SCAN:2120,2634,0.3230827638572513,1.2657555049354594,0.32681429054727673
Middle,SCAN,SCAN:2156,4156,0.2548123195380173,1.7812800769971127,0.01747548113505605
Middle,SCAN,SCAN:2178,3761,0.3182664185057166,1.245679340600904,0.2941120497330973
Middle,SCAN,SCAN:2181,3572,0.2723964165733483,1.3659014557670772,0.19365861769048667
Middle,SCAN,SCAN:2191,3709,0.23186842814774872,1.4952817471016446,0.0846539532182454
Middle,SCAN,SCAN:2195,2993,0.3595055128633478,1.0514533912462412,0.3989250250420099
Middle,SCAN,SCAN:2223,0,NA,NA,NA
Middle,SCAN,SCAN:2229,0,NA,NA,NA
Middle,UMRB Mesonet,SHMW4,0,NA,NA,NA
Middle,SNTL,SNTL:1014,3572,0.353023516237402,1.8269876819708846,-0.04851689683838633
Middle,SNTL,SNTL:1111,4767,0.2737570799244808,1.4187119781833437,0.13774191346442663
Middle,SNTL,SNTL:1121,3929,0.22728429625858998,1.7253754135912447,0.014393699860075004
Middle,SNTL,SNTL:1137,3546,0.2955442752397067,1.3852227862380146,0.17797647671071215
Middle,SNTL,SNTL:1142,4531,0.3290664312513794,1.1778856764511145,0.30451918544267687
Middle,SNTL,SNTL:1146,4124,0.27643064985451016,1.5077594568380213,0.15114434815850813
Middle,SNTL,SNTL:1147,2713,0.3166236638407667,1.3026170291190564,0.12506461507251632
Middle,SNTL,SNTL:1151,2592,0.26003086419753085,1.429783950617284,0.26284996335462224
Middle,SNTL,SNTL:1185,1610,0.3770186335403727,1.037888198757764,0.47786702475665815
Middle,SNTL,SNTL:1192,3624,0.27179911699779247,1.761037527593819,0.274710682419345
Middle,SNTL,SNTL:1195,3867,0.23946211533488493,1.7801913628135506,0.062829066443415
Middle,SNTL,SNTL:1223,3586,0.2919687674288901,1.4102063580591189,0.2331650495011017
Middle,SNTL,SNTL:1248,2148,0.31424581005586594,1.164804469273743,0.4126441907957568
Middle,SNTL,SNTL:1249,1485,0.3474747474747475,0.9912457912457913,0.36822652197571154
Middle,SNTL,SNTL:1262,2858,0.281665500349895,1.4058782365290412,0.08133612982463348
Middle,SNTL,SNTL:1272,0,NA,NA,NA
Middle,SNTL,SNTL:1277,310,0.2967741935483871,1.293548387096774,0.3558374214462256
Middle,SNTL,SNTL:2029,6364,0.345223130106851,1.1923318667504714,0.3160899552948684
Middle,SNTL,SNTL:333,6544,0.3682762836185819,1.175122249388753,0.3200869217381616
Middle,SNTL,SNTL:359,2317,0.28787224859732413,1.2792403970651705,0.24584920029550905
Middle,SNTL,SNTL:364,5465,0.29661482159194874,1.3818847209515097,0.19495947572547764
Middle,SNTL,SNTL:383,6976,0.3122133027522936,1.260894495412844,0.24013250668840838
Middle,SNTL,SNTL:393,6878,0.315644082582146,1.3300378016865368,0.2182835937327957
Middle,SNTL,SNTL:498,6071,0.2551474221709768,1.5865590512271455,0.04430518455690005
Middle,SNTL,SNTL:505,1451,0.20124052377670573,1.9000689179875947,-0.030271247149176547
Middle,SNTL,SNTL:527,5387,0.3100055689623167,1.2912567291627994,0.20269255856099203
Middle,SNTL,SNTL:539,5843,0.29419818586342633,1.4406982714359062,0.03421624869773972
Middle,SNTL,SNTL:549,4794,0.31622861910721733,1.2657488527325824,0.312582778961978
Middle,SNTL,SNTL:550,3336,0.335431654676259,1.209232613908873,0.18236876942690539
Middle,SNTL,SNTL:561,6957,0.3350582147477361,1.2341526520051747,0.341454779342964
Middle,SNTL,SNTL:566,3546,0.3849407783417936,0.9763113367174281,0.4227835113314382
