depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Shallow,SNTL,SNTL:715,4,4409,4193,-105.34145,36.69935,-3.23343240845698,-5.014874610463829,1.7814422020068488,0.37781082021615614,-0.055536473122769034,0.4333472933389252,412.6,588.6,-176,176
Shallow,SNTL,SNTL:720,5,3202,3175,-110.69292,40.54875,0.7288506647268571,0.5218745071713677,0.20697615755548937,0.7471300247822814,0.5958888038611572,0.15124122092112424,1.8,19.9,-18.099999999999998,18.099999999999998
Shallow,SNTL,SNTL:723,2,2677,2471,-112.22377,40.44293,0.7164723670705859,0.3815964709773514,0.33487589609323454,0.8763854293337818,0.7133745983993234,0.16301083093445845,8.6,31,-22.4,22.4
Shallow,SNTL,SNTL:724,1,4864,4209,-120.13139,38.99927,0.5433877285571462,-0.2018453412832164,0.7452330698403626,0.6685418965850928,0.5481273308483533,0.12041456573673948,12.5,108.6,-96.1,96.1
Shallow,SNTL,SNTL:730,6,2623,2596,-110.9099,42.5075,0.8374692930683506,0.4300368751024811,0.4074324179658695,0.9080741750976625,0.6524413428408381,0.2556328322568244,8.2,39.5,-31.3,31.3
Shallow,SNTL,SNTL:732,2,1120,1120,-107.17043,41.11179,0.37351018388588875,0.31123366920266804,0.06227651468322071,0.8305022286409498,0.7269336070101524,0.10356862163079739,-48,-35.6,-12.399999999999999,-12.399999999999999
Shallow,SNTL,SNTL:735,1,2560,2533,-114.63333,46.46633,0.3821438786936474,-0.15946798552427954,0.541611864217927,0.4067568185960161,0.2517500974589812,0.1550067211370349,-5.2,54.3,-59.5,49.099999999999994
Shallow,SNTL,SNTL:736,3,426,426,-117.16522000000002,45.00107,0.7359153819208597,0.37933128312516695,0.35658409879569275,0.8604679934533104,0.8054822806763492,0.05498571277696118,0.7,53,-52.3,52.3
Shallow,SNTL,SNTL:737,8,1262,1235,-107.04933,39.01467000000001,0.5772340950249684,0.07033458135895954,0.5068995136660088,0.720443689638543,0.27254318157874174,0.44790050805980125,20.9,31.8,-10.900000000000002,10.900000000000002
Shallow,SNTL,SNTL:742,8,2717,2690,-111.43297,39.31042000000001,0.6343696125041925,0.29478502388041594,0.3395845886237766,0.752233057973639,0.5605242296985256,0.19170882827511349,13.5,28.1,-14.600000000000001,14.600000000000001
Shallow,SNTL,SNTL:744,9,1935,1908,-106.83408,36.001520000000006,0.6229241350581619,0.36652772896978547,0.25639640608837644,0.7377232909172183,0.6767959231531728,0.060927367764045504,-19.5,-23.3,3.8000000000000007,3.8000000000000007
Shallow,SNTL,SNTL:746,1,3667,3640,-115.47215,41.73732,0.4927382943843257,0.36717491873981367,0.12556337564451203,0.7379601630965905,0.5966729305912427,0.1412872325053478,-19,2.4,-21.4,-16.6
Shallow,SNTL,SNTL:747,5,3174,3054,-115.74216,46.56603,0.8340367465237879,-0.14080342748775254,0.9748401740115404,0.8719439408954048,0.8473779075717036,0.02456603332370122,9.2,107.7,-98.5,98.5
Shallow,SNTL,SNTL:749,4,2661,2634,-111.68792,43.2103,0.8717062653902349,0.5849849622874466,0.2867213031027883,0.8879524441360174,0.7877304279638371,0.1002220161721803,-4.1,17.2,-21.299999999999997,13.1
Shallow,SNTL,SNTL:750,7,7166,4844,-119.44464,41.90435,0.6252800513251698,0.4971421079357219,0.12813794338944795,0.8132286472781862,0.6099893467279873,0.2032393005501989,-19.6,26.1,-45.7,6.5
Shallow,SNTL,SNTL:752,4,1555,1528,-116.33972,46.95028,0.6647018626135719,0.42980108973885733,0.23490077287471456,0.9205799856335853,0.9247525771804359,-0.004172591546850568,-15.7,20.2,-35.9,4.5
Shallow,SNTL,SNTL:756,4,1126,863,-121.18123,42.95615,0.560540999129608,0.4197249275450896,0.14081607158451837,0.9150181320533167,0.6034253981110214,0.31159273394229536,-35.7,-34,-1.7000000000000028,-1.7000000000000028
Shallow,SNTL,SNTL:762,1,2502,2475,-107.20392,37.99076,0.3790330876973582,0.10530679231356643,0.2737262953837918,0.5283713081040088,0.3588530454991156,0.16951826260489317,-30.2,-25.9,-4.300000000000001,-4.300000000000001
Shallow,SNTL,SNTL:763,5,3677,3041,-111.09192,40.78931000000001,0.4684912517890153,0.17146725201360424,0.29702399977541105,0.5046366928426286,0.28406824856755286,0.22056844427507571,14.3,41.1,-26.8,26.8
Shallow,SNTL,SNTL:764,3,2023,1996,-110.66917,44.13361,-0.5478273718851008,-1.0528090899535698,0.504981718068469,0.932699299641606,0.6685106527043064,0.2641886469372996,151.9,201.7,-49.79999999999998,49.79999999999998
Shallow,SNTL,SNTL:766,10,2497,2470,-111.65852,40.56914,0.0828611255501297,-0.35643429229000856,0.43929541784013826,0.6259715551765772,0.6672927412975985,-0.041321186121021314,81.4,130.4,-49,49
Shallow,SNTL,SNTL:770,2,2917,2890,-111.35933,42.952749999999995,0.8245765810898424,0.636345895668579,0.18823068542126342,0.8992257197049244,0.8005118367128881,0.09871388299203632,-7.7,3.8,-11.5,-3.9000000000000004
Shallow,SNTL,SNTL:771,2,4401,3989,-119.6003,38.31021,0.4931159553641603,0.06527345001738494,0.42784250534677537,0.7759228700668165,0.7128662883591962,0.0630565817076203,-32.7,84.2,-116.9,51.5
Shallow,SNTL,SNTL:772,9,1129,1129,-106.5025,41.32950000000001,0.5231050297565685,-0.044237919438290696,0.5673429491948592,0.7026918389107085,0.21147981270655664,0.4912120262041519,0.5,44.9,-44.4,44.4
