depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SCAN,SCAN:2046,3,7357,6287,-90.90496,33.97370000000001,0.34265024879992967,0.15970888084960544,0.18294136795032423,0.3622842999145336,0.33358674676641314,0.028697553148120447,-5.9,-30.5,24.6,24.6
Middle,SCAN,SCAN:2047,6,6961,5647,-93.71667,40.25,0.7625128110896814,0.4970226770342251,0.2654901340554563,0.8031551818428594,0.7803501209866542,0.02280506085620515,10.8,-38,48.8,27.2
Middle,SCAN,SCAN:2048,7,6409,3839,-89.93333,36.78333,0.3211824042928447,0.2138807011708227,0.10730170312202203,0.4499997253908451,0.4632367169214387,-0.0132369915305936,30.4,-8.5,38.9,-21.9
Middle,SCAN,SCAN:2049,9,5100,4086,-76.85,39.01667,0.4953321097808562,0.220148204042104,0.2751839057387522,0.8110141429787181,0.6990852118658349,0.11192893111288316,45.1,55,-9.899999999999999,9.899999999999999
Middle,SCAN,SCAN:2050,3,5071,3097,-96.26667,47.71667000000001,0.16639537090436485,0.5049758378761227,-0.3385804669717578,0.6903475883653234,0.7767916020086655,-0.08644401364334209,57.9,-40.7,98.6,-17.199999999999996
Middle,SCAN,SCAN:2053,7,6617,5448,-86.53333,34.9,0.4520242693746026,0.5564318347869172,-0.10440756541231455,0.7403822912594763,0.706351682428026,0.03403060883145026,20.6,7.6,13.000000000000002,-13.000000000000002
Middle,SCAN,SCAN:2055,5,4937,4088,-86.16557,34.4448,0.6625195903289189,0.6828254719984901,-0.020305881669571146,0.6683976328177907,0.6856264103232546,-0.01722877750546381,0.3,-3.2,3.5,2.9000000000000004
Middle,SCAN,SCAN:2056,3,6570,5545,-86.68333,34.43333,0.6677510158149507,0.37795805762395096,0.2897929581909997,0.8630700467119223,0.7592204421965091,0.10384960451541325,-18.1,-23.8,5.699999999999999,5.699999999999999
Middle,SCAN,SCAN:2057,7,6758,5646,-86.55,34.78333000000001,0.41889876781697377,0.445780518178275,-0.02688175036130125,0.4871983312470778,0.5005190361242203,-0.013320704877142542,-6,-22.5,16.5,16.5
Middle,SCAN,SCAN:2060,2,6275,4899,-93.88333,37.06667,0.6195796801854558,0.6576399457931612,-0.03806026560770537,0.8007164908462551,0.7410429774229168,0.059673513423338265,17.5,1.3,16.2,-16.2
