site_id,network,longitude,latitude,oos_shallow,oos_middle,fully_oos
OEMS2,UMRB Mesonet,-103.3477,43.041,TRUE,TRUE,TRUE
OHDN1,UMRB Mesonet,-98.261073,42.490732,TRUE,TRUE,TRUE
OHMM8,UMRB Mesonet,-106.38619,48.78782,TRUE,TRUE,TRUE
OSMW4,UMRB Mesonet,-104.3791,43.99378,TRUE,TRUE,TRUE
OTRM8,UMRB Mesonet,-105.9845,45.24692,TRUE,TRUE,TRUE
PARM8,UMRB Mesonet,-105.21641,48.17849,TRUE,TRUE,TRUE
PCDN8,UMRB Mesonet,-101.6123,47.4747,TRUE,TRUE,TRUE
PCKN8,UMRB Mesonet,-100.67296,47.41536,TRUE,TRUE,TRUE
PCMS2,UMRB Mesonet,-102.9195,45.3388,TRUE,TRUE,TRUE
PIMS2,UMRB Mesonet,-99.9997,44.3541,TRUE,TRUE,TRUE
PKJN8,UMRB Mesonet,-103.6559,47.5025,TRUE,TRUE,TRUE
PKMS2,UMRB Mesonet,-97.0793,43.4885,TRUE,TRUE,TRUE
PMPN8,UMRB Mesonet,-103.35835,46.78142,TRUE,TRUE,TRUE
POLN8,UMRB Mesonet,-102.56083,48.48417,TRUE,TRUE,TRUE
PTON8,UMRB Mesonet,-101.77054,46.15995,TRUE,TRUE,TRUE
RADM8,UMRB Mesonet,-112.00768,48.06099,TRUE,FALSE,FALSE
RAPM8,UMRB Mesonet,-109.42109,45.88584,TRUE,TRUE,TRUE
RDFS2,UMRB Mesonet,-98.4066,44.8859,TRUE,TRUE,TRUE
RDMS2,UMRB Mesonet,-103.5495,45.3195,TRUE,TRUE,TRUE
RGTM8,UMRB Mesonet,-109.31114,46.19946,TRUE,TRUE,TRUE
RHMS2,UMRB Mesonet,-98.7965,44.8224,TRUE,TRUE,TRUE
RKMW4,UMRB Mesonet,-104.8825,43.6795,TRUE,TRUE,TRUE
RMYM8,UMRB Mesonet,-109.3477,46.5351,TRUE,TRUE,TRUE
RRMW4,UMRB Mesonet,-105.88865,43.41376,TRUE,TRUE,TRUE
RSTM8,UMRB Mesonet,-104.84179,48.82451,TRUE,TRUE,TRUE
RSVN1,UMRB Mesonet,-102.43749,42.71207,TRUE,TRUE,TRUE
RYOM8,UMRB Mesonet,-108.67782,47.37909,TRUE,TRUE,TRUE
SASM8,UMRB Mesonet,-107.39124,48.29082,TRUE,TRUE,TRUE
SBSM8,UMRB Mesonet,-112.02219,48.91505,TRUE,TRUE,TRUE
SCYM8,UMRB Mesonet,-105.49718,48.8602,TRUE,TRUE,TRUE
SDLM8,UMRB Mesonet,-110.15675,45.74655,TRUE,TRUE,TRUE
SDSM8,UMRB Mesonet,-107.63839,47.1653,TRUE,TRUE,TRUE
SHLN8,UMRB Mesonet,-102.07275,48.15001,TRUE,TRUE,TRUE
SLBN8,UMRB Mesonet,-103.79333,47.06694,TRUE,TRUE,TRUE
SNMS2,UMRB Mesonet,-102.442,43.7574,TRUE,TRUE,TRUE
SNRN8,UMRB Mesonet,-100.9891,47.1668,TRUE,TRUE,TRUE
SPMS2,UMRB Mesonet,-103.9164,44.5656,TRUE,TRUE,TRUE
STYN8,UMRB Mesonet,-102.4652,48.1961,TRUE,TRUE,TRUE
SURM8,UMRB Mesonet,-111.71725,47.41178,TRUE,TRUE,TRUE
SVYM8,UMRB Mesonet,-108.5907,48.417,TRUE,TRUE,TRUE
TAMM8,UMRB Mesonet,-106.85091,48.36463,TRUE,TRUE,TRUE
THMS2,UMRB Mesonet,-101.2295,43.2061,TRUE,TRUE,TRUE
TRNM8,UMRB Mesonet,-108.39366,48.87426,TRUE,TRUE,TRUE
TWOM8,UMRB Mesonet,-110.20549,46.44675,TRUE,TRUE,TRUE
UCMS2,UMRB Mesonet,-102.8964,44.7047,TRUE,TRUE,TRUE
UPMW4,UMRB Mesonet,-104.63755,43.9643,TRUE,TRUE,TRUE
VGAS2,UMRB Mesonet,-96.9188,44.304,FALSE,TRUE,FALSE
VLTM8,UMRB Mesonet,-108.24377,47.35797,TRUE,TRUE,TRUE
VNMS2,UMRB Mesonet,-98.2793,43.7173,TRUE,TRUE,TRUE
VOTM8,UMRB Mesonet,-105.66213,48.54228,TRUE,TRUE,TRUE
VVMS2,UMRB Mesonet,-100.2963,43.7508,TRUE,TRUE,TRUE
WETM8,UMRB Mesonet,-113.11848,48.77951,TRUE,TRUE,TRUE
WGMS2,UMRB Mesonet,-98.7614,44.4592,TRUE,TRUE,TRUE
WHUN1,UMRB Mesonet,-103.31791,42.74225,TRUE,TRUE,TRUE
WIEM8,UMRB Mesonet,-108.50241,46.96536,TRUE,TRUE,TRUE
WNFM8,UMRB Mesonet,-109.2019,47.7319,TRUE,TRUE,TRUE
WNGN8,UMRB Mesonet,-100.3303,47.2719,TRUE,TRUE,TRUE
WOFM8,UMRB Mesonet,-105.73792,48.17452,TRUE,TRUE,TRUE
WRHM8,UMRB Mesonet,-108.59132,47.14725,TRUE,TRUE,TRUE
WRHN8,UMRB Mesonet,-99.06591,46.14316,TRUE,TRUE,TRUE
WSMS2,UMRB Mesonet,-98.3103,44.1114,TRUE,TRUE,TRUE
YPLN8,UMRB Mesonet,-98.52323,46.77638,TRUE,TRUE,TRUE
ZPPN8,UMRB Mesonet,-101.97136,47.43673,TRUE,TRUE,TRUE
1011,USCRN,-111.16,32.23,FALSE,TRUE,FALSE
1021,USCRN,-113.55,43.46,FALSE,TRUE,FALSE
1040,USCRN,-70.94,43.10000000000001,FALSE,TRUE,FALSE
1041,USCRN,-70.92,43.17000000000001,FALSE,TRUE,FALSE
1045,USCRN,-105.54,40.03,FALSE,TRUE,FALSE
1046,USCRN,-113.43,48.74000000000001,FALSE,TRUE,FALSE
1085,USCRN,-75.92,37.29,TRUE,TRUE,TRUE
1105,USCRN,-117.14,36.6,FALSE,TRUE,FALSE
1106,USCRN,-114.2,39.01,FALSE,TRUE,FALSE
1107,USCRN,-110.71,43.66,FALSE,TRUE,FALSE
1128,USCRN,-81.31,25.89,TRUE,TRUE,TRUE
1139,USCRN,-103.37,46.89,FALSE,TRUE,FALSE
1141,USCRN,-80.69,28.61,FALSE,TRUE,FALSE
1144,USCRN,-108.66,42.67,FALSE,TRUE,FALSE
1233,USCRN,-123.81,47.51,FALSE,TRUE,FALSE
1306,USCRN,-103.2,29.34,FALSE,TRUE,FALSE
1346,USCRN,-78.46,37.99,FALSE,TRUE,FALSE
1386,USCRN,-98.08,30.620000000000005,FALSE,TRUE,FALSE
1468,USCRN,-113,45.15,FALSE,TRUE,FALSE
1528,USCRN,-117.18999999999998,33.43,FALSE,TRUE,FALSE
1529,USCRN,-119.87,34.41,TRUE,TRUE,TRUE
1532,USCRN,-119.63,41.84,FALSE,TRUE,FALSE
1590,USCRN,-114.18,32.83,FALSE,TRUE,FALSE
1610,USCRN,-124.31,43.27,TRUE,TRUE,TRUE
1611,USCRN,-99.47,46.77,FALSE,TRUE,FALSE
1613,USCRN,-112.33,35.75,FALSE,TRUE,FALSE
1797,USCRN,-81.91,40.76,FALSE,TRUE,FALSE
